State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.32119	4.32465	4.27194	4.22614	4.16998	4.07148	3.96088	3.84509	3.69993	3.51848	3.28518	3.10804	2.96461	2.78920	2.64231	2.51962	2.43839	2.31829	2.22238	2.15757	2.10141
2	1.98062	2.00394	2.01832	2.03430	2.07264	2.10874	2.13686	2.15028	2.19437	2.26083	2.34134	2.36403	2.39278	2.44934	2.48033	2.49630	2.47458	2.48288	2.48736	2.47713	2.45764
3	0.72357	0.66316	0.64158	0.62000	0.57541	0.57541	0.59698	0.56965	0.57253	0.57397	0.55383	0.53081	0.53225	0.53944	0.51930	0.51787	0.50492	0.52650	0.52074	0.52937	0.55814
4	1.29185	1.26936	1.33684	1.33042	1.35612	1.39469	1.39790	1.38505	1.33363	1.27579	1.20187	1.27579	1.23401	1.14403	1.05084	1.03155	1.02834	1.00263	1.02513	1.03155	1.02513
5	3.10142	2.94528	2.83883	2.83173	2.76786	2.71108	2.76786	2.81754	2.71818	2.54075	2.64721	2.44139	2.24267	2.18590	2.17170	2.20009	2.24267	2.33494	2.32074	2.34203	2.32074
6	1.84479	1.83457	2.01342	1.79879	1.91122	1.89589	1.99298	1.97254	2.18717	2.09519	2.16162	2.03386	1.93677	2.09008	2.21272	2.20761	2.17695	2.30471	2.29449	2.22294	2.20250
7	2.70483	2.79352	2.83786	2.84894	2.76026	2.74917	2.77689	2.72146	2.59398	2.52747	2.26696	2.18936	2.11731	2.27250	2.22816	2.27250	2.17828	2.16165	2.27805	2.28913	2.30576
8	1.51692	1.51819	1.55737	1.63322	1.61047	1.60035	1.64713	1.78491	1.82284	1.81904	1.85065	1.96568	2.02004	2.04153	2.05038	2.00487	2.08830	2.03268	2.01119	2.04532	2.08071
9	1.85207	1.87150	1.85855	1.93626	1.87150	2.02044	2.11758	2.21472	2.31185	2.42194	2.30538	2.24709	2.29243	2.25357	2.24709	2.33128	2.39604	2.41546	2.45432	2.48670	2.34423
10	3.60429	3.53340	3.37527	3.31529	3.38072	3.38072	3.33710	3.36436	3.24440	3.18442	3.16261	3.52249	3.60974	3.41344	3.52795	3.53340	3.59883	3.69153	3.71879	3.74061	3.92600
11	4.63967	4.63967	4.50427	4.42303	4.19737	3.91754	3.59258	3.32179	3.13223	2.98780	2.65382	2.48231	2.56355	2.68090	2.89754	3.09612	3.09612	2.97878	2.93364	3.01488	2.94267
12	1.46040	1.45858	1.45722	1.44177	1.43587	1.43678	1.43087	1.40770	1.39953	1.38499	1.37182	1.35274	1.35501	1.33321	1.31822	1.30913	1.30187	1.29233	1.28733	1.28006	1.28324
13	0.50776	0.50757	0.50745	0.51012	0.51127	0.51139	0.51121	0.51569	0.51951	0.52757	0.53509	0.54145	0.54563	0.54903	0.55448	0.56072	0.56745	0.57400	0.57897	0.58333	0.58757
14	0.53638	0.52260	0.52457	0.52359	0.52359	0.53835	0.56197	0.56394	0.55016	0.52457	0.47339	0.47536	0.46946	0.46847	0.46552	0.47142	0.47831	0.47733	0.48422	0.48914	0.50095
15	0.28683	0.29184	0.29184	0.29184	0.29485	0.29435	0.28231	0.28131	0.28432	0.29034	0.32293	0.32343	0.32594	0.32795	0.32644	0.32594	0.32544	0.33647	0.34149	0.34249	0.33798
