State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.61929	0.56590	0.54226	0.50946	0.48506	0.47057	0.46218	0.45607	0.46065	0.47438	0.49726	0.52319	0.52700	0.53997	0.55598	0.56514	0.58725	0.61776	0.65818	0.74207	0.85266
2	1.58632	1.47718	1.37424	1.23042	1.07644	0.91485	0.75297	0.63904	0.55641	0.50847	0.48309	0.47406	0.49578	0.52341	0.56205	0.61056	0.67091	0.76115	0.89454	1.01496	1.12297
3	0.87483	0.74786	0.61835	0.54470	0.48249	0.43805	0.40504	0.38472	0.36821	0.36441	0.33774	0.33901	0.37964	0.38472	0.39488	0.42027	0.47741	0.60819	0.87610	1.23669	1.66712
4	2.70597	2.43084	1.98835	1.50048	1.10622	0.86795	0.80839	0.71195	0.72897	0.67508	0.72897	0.70060	0.67791	0.70628	0.79988	1.02963	1.71322	3.13995	5.02335	6.50114	7.70663
5	9.64690	10.50510	11.39462	11.56375	10.36728	8.01820	5.39976	3.58313	2.50569	2.16116	2.15489	2.12357	2.46810	4.00284	9.05180	19.17478	29.37919	34.28408	34.24023	31.80971	27.90710
6	4.89392	5.27280	6.39592	7.88440	9.16538	10.54109	11.03274	10.28399	7.86635	5.62011	3.76629	2.90929	2.92733	3.62195	5.08787	6.06214	6.13431	5.39910	4.33010	3.41898	2.94086
7	4.04100	4.32964	4.88247	5.58695	6.69749	7.90098	9.08980	10.37646	12.17192	15.69434	15.91938	12.97425	11.57996	10.36179	9.13383	8.08200	6.75131	5.80710	4.84333	4.15352	3.66919
8	3.16206	3.46332	3.45216	3.45662	3.36848	3.00362	2.50265	1.79191	1.22845	0.98522	0.89484	0.86137	0.95174	1.00753	1.07224	1.31548	1.71939	2.02957	2.14672	2.25495	2.19358
9	2.49782	2.53212	2.72645	2.73217	2.69216	2.78933	2.73789	2.69216	2.17202	1.54328	1.16603	1.07458	1.03457	1.08601	1.08601	1.05171	1.08029	1.18889	1.18889	1.25177	1.32607
10	5.37118	6.15087	7.36372	9.30331	12.12367	16.91731	24.20402	33.51215	44.11976	51.47385	55.06426	46.40106	35.58650	25.33986	17.67293	12.38356	8.65357	6.04018	4.38935	3.43159	2.87811
11	6.05516	7.76813	9.83963	12.69990	17.42452	22.30848	26.26027	28.09275	26.56302	21.25679	22.08539	43.26251	58.72707	69.15628	68.92523	57.50807	41.81246	29.47109	20.99387	15.14586	11.44106
12	1.91007	1.92611	1.93252	1.93453	1.90927	1.84031	1.74368	1.63302	1.50272	1.39807	1.35557	1.36038	1.45020	1.56767	1.68154	1.75772	1.82668	1.87038	1.89885	1.89283	1.87158
13	0.54408	0.52766	0.50680	0.48192	0.45207	0.42121	0.39002	0.36023	0.33706	0.32390	0.31508	0.31358	0.32000	0.32952	0.34070	0.35274	0.36852	0.38387	0.39805	0.40992	0.42089
14	0.33966	0.32836	0.32663	0.32402	0.31968	0.31099	0.29449	0.29101	0.28754	0.31707	0.34400	0.36832	0.36311	0.34313	0.31881	0.29796	0.29709	0.28493	0.28667	0.28493	0.29014
15	0.25759	0.25804	0.25361	0.24387	0.23458	0.23237	0.22750	0.21555	0.20714	0.18324	0.16775	0.15889	0.16509	0.18014	0.18899	0.20094	0.20537	0.21422	0.21599	0.21997	0.21997
