State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	4.02378	0.74288	4.82415	2.30347	3.28552	0.49727	0.61208	0.23620
2	10.88181	0.70502	1.99048	1.72919	2.34127	0.48310	0.88878	0.44600
3	2.41694	0.27644	0.73559	2.28520	0.55389	0.33775	0.59173	0.21627
4	1.08192	0.16277	1.26987	2.27090	1.19878	0.72899	1.79822	0.22326
5	0.48989	0.75913	2.39955	2.18649	2.64748	2.15496	11.01710	0.22747
6	0.68036	1.83449	1.74616	0.87534	2.16185	3.76640	5.99192	0.45361
7	0.62728	23.22362	3.69022	0.94532	2.26165	15.91987	8.36992	0.43354
8	2.75042	0.25778	1.41140	1.13849	1.85084	0.89487	2.08625	0.53666
9	0.53689	0.19221	1.72002	1.29211	2.30562	1.16607	1.85446	0.49763
10	0.63762	51.45387	7.12306	1.15988	3.16294	55.06114	18.74055	0.22178
11	0.38517	34.85468	6.62492	2.02957	2.65410	22.08607	24.81838	0.18748
12	7.65404	1.66280	1.36151	0.94976	1.37196	1.35562	1.82650	0.90054
13	57.36763	0.18674	0.44827	0.76710	0.53514	0.31509	0.43126	1.16820
14	3.53268	0.27302	0.47308	0.47992	0.47344	0.34401	0.32451	1.46871
15	6.93355	0.12359	0.20059	0.48415	0.32297	0.16775	0.23892	1.68528
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
