State (Emission order)	H3k27ac	H3k9ac	H3k4me2	H2az	H3k4me3	H3k27me3	H3k79me2	H3k04me1	H3k36me3	H3k09me3
1	0.0025245169387928465	0.0033409369855536388	1.8133837583543134E-4	0.0014524951103646795	9.872390193025694E-5	3.23898029298381E-4	0.02212860399601679	0.00867734674357146	0.44812713141659405	0.00153873372438343
2	5.006092692298903E-4	0.0011997103300173241	1.861273262445927E-4	0.003953476247852982	7.275841628571159E-5	4.0705120214670277E-4	0.008394701841113655	0.0023254031834840498	0.024043019528879894	8.283738265914214E-4
3	0.003021398214629472	0.003102668521884079	6.736819046814204E-4	0.002218036521738089	9.381109488896809E-5	2.756019183971742E-4	0.6406283890568363	0.026893306656790364	0.13611848579450472	0.009428460674439573
4	0.09656988632301128	0.04502092366177766	0.10248840680544039	0.006818228040219442	0.006727739649941657	3.905185503451004E-4	0.8479448307967337	0.8294181669348109	0.19591473747237945	0.0037273479710505943
5	0.41504226566988583	0.6603131335449463	0.9271804252084429	0.0386984691708388	0.29855507068234405	0.0125441001292886	0.9447550983803545	0.8687526194422153	0.11480386740963296	0.002178927347487769
6	0.038447565452229666	0.21965394972185778	0.9075575381599453	0.2920500207666233	0.27126947383799316	0.03767791048099872	0.015652757285730724	0.8440527285878107	0.0010834566230196476	0.0025694337192905445
7	2.099911246025007E-4	0.05305670745131386	0.37786283198642623	0.12446707454428475	0.34353835855817877	0.5589467600740652	0.004898675680825573	0.5920687162915784	8.734250958392756E-4	0.016464043267002317
8	0.021835528465853352	0.016436331972498004	0.0364708941842097	0.05559849242612623	0.003225131016690326	0.012753009298878853	0.011232465271044574	0.7605257852155783	0.015981092985958564	0.005689423894513948
9	0.8735007497465391	0.48543335827957546	0.6146699846751942	0.17529290360355843	0.09200963104342183	0.0052889962503643966	0.06501987144271971	0.9476158830281821	0.03471083509735712	0.009282094998817231
10	0.4933837924585819	0.8899634491655452	0.9361304234477373	0.3740856285510885	0.9647771094735638	0.2695979802153826	0.033402288395952766	0.3810626547945091	4.7568901735967056E-4	0.0020941142375749634
11	0.8642281393925437	0.9969467887021287	0.9849658564510043	0.27963047740885916	0.92958695983481	0.6082379215260831	0.9424010457833429	0.2119540265253673	0.025654518859627096	0.025099423520562863
12	1.9649395434891694E-5	0.0016122149786019812	3.380199279889686E-4	0.015907376700973627	2.609308696757181E-4	0.36251635951022887	2.6383478862525685E-4	0.005453366605443043	2.2435189620624227E-4	0.0026425960365244272
13	5.495411224953815E-6	2.173177694213283E-4	1.8232915883529042E-4	0.004862125970147406	3.402850006890213E-5	0.005778529127135649	4.4186624199464164E-5	5.826115393702889E-4	1.1588608727403138E-4	0.0015074572963048127
14	2.63472251745656E-4	0.0010579996919919566	8.017022648552754E-4	0.028640409496252163	5.558792551095847E-4	0.013127682198198726	0.006123444908603931	0.0021597256568410815	0.005975815211170738	0.8718391582591997
15	8.916465590351091E-6	5.3430782685291987E-5	4.9729644067117054E-5	0.002433764269907616	1.2040129895575695E-5	2.4321182604766792E-4	1.9886847430651147E-5	1.2796481666845722E-4	8.355624689381016E-5	0.16687534977177634
