15	10	E	-9021144.568902541	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	1.3116596695602582E-277
probinit	7	0.0345449123890131
probinit	8	6.987701612269999E-12
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	5.5929048307045116E-45
probinit	13	0.9253869049176341
probinit	14	0.04006818268636514
probinit	15	0.0
transitionprobs	1	1	0.9594969805407926
transitionprobs	1	2	0.03030968127422608
transitionprobs	1	3	0.004925208060994954
transitionprobs	1	4	0.0023707210731590263
transitionprobs	1	5	4.133165710716184E-5
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	0.002128706921893478
transitionprobs	1	9	4.186070617145621E-4
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	1.0575055587715059E-5
transitionprobs	1	13	0.0
transitionprobs	1	14	2.9818835452438366E-4
transitionprobs	1	15	0.0
transitionprobs	2	1	0.01145888469511352
transitionprobs	2	2	0.9470442309147699
transitionprobs	2	3	0.003191029732533556
transitionprobs	2	4	3.19119315174676E-4
transitionprobs	2	5	1.6236035826891013E-4
transitionprobs	2	6	0.0
transitionprobs	2	7	5.028092975772914E-4
transitionprobs	2	8	0.03435055400278096
transitionprobs	2	9	1.4835412075180556E-4
transitionprobs	2	10	5.838176480467102E-4
transitionprobs	2	11	2.7461133669377653E-5
transitionprobs	2	12	0.0
transitionprobs	2	13	9.881536992609231E-4
transitionprobs	2	14	0.0012232250820524324
transitionprobs	2	15	0.0
transitionprobs	3	1	0.008504338709329179
transitionprobs	3	2	0.0144462287808057
transitionprobs	3	3	0.9218609740070559
transitionprobs	3	4	0.053833468966708764
transitionprobs	3	5	0.001055009821906753
transitionprobs	3	6	0.0
transitionprobs	3	7	2.238964098257405E-5
transitionprobs	3	8	2.2040952666026086E-5
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	4.709283675249006E-5
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	2.084562837927817E-4
transitionprobs	3	15	0.0
transitionprobs	4	1	0.009451821640267316
transitionprobs	4	2	0.0035066288266414358
transitionprobs	4	3	0.11692292555963688
transitionprobs	4	4	0.8028251464505312
transitionprobs	4	5	0.05416885927887544
transitionprobs	4	6	1.236778876341046E-4
transitionprobs	4	7	0.0
transitionprobs	4	8	0.009144567816821233
transitionprobs	4	9	0.0037847283120713286
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0
transitionprobs	4	13	0.0
transitionprobs	4	14	7.164422752119284E-5
transitionprobs	4	15	0.0
transitionprobs	5	1	2.393251367882661E-4
transitionprobs	5	2	0.003220528434302173
transitionprobs	5	3	0.005500600104074643
transitionprobs	5	4	0.1278301803651823
transitionprobs	5	5	0.7603296432230925
transitionprobs	5	6	0.00484281798433913
transitionprobs	5	7	9.280991717133703E-6
transitionprobs	5	8	0.006179142054088156
transitionprobs	5	9	0.009968365267445774
transitionprobs	5	10	0.005056854407944117
transitionprobs	5	11	0.0768035950542877
transitionprobs	5	12	0.0
transitionprobs	5	13	0.0
transitionprobs	5	14	1.9666976738243428E-5
transitionprobs	5	15	0.0
transitionprobs	6	1	0.0
transitionprobs	6	2	0.0
transitionprobs	6	3	1.135124286072881E-5
transitionprobs	6	4	4.3265421713922504E-4
transitionprobs	6	5	0.003778339814868684
transitionprobs	6	6	0.5873417549083177
transitionprobs	6	7	0.009417586626658172
transitionprobs	6	8	0.2545436181548824
transitionprobs	6	9	0.0044984147616118466
transitionprobs	6	10	0.08676192688087268
transitionprobs	6	11	7.216313687244261E-4
transitionprobs	6	12	0.0
transitionprobs	6	13	0.05187187995989287
transitionprobs	6	14	1.417798055818593E-4
transitionprobs	6	15	4.790622585892199E-4
transitionprobs	7	1	7.55315420008709E-5
transitionprobs	7	2	0.007326153319728444
transitionprobs	7	3	6.87898784649059E-5
